source;product_id;product_name;price;currency;categories;product_url;image_url;scrape_date,,,,
Kalys;;Sélection verre à pied Turquoise;185.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/selection-verre-a-pied-turquoise/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202000%202001'%2F%3E;04:27.0,,
Kalys;;Sélection craquelé turquoise;99.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/selection-craquele-bleu/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:27.0,,
Kalys;;Le miroir Khomsa;120.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/le-miroir-khomsa/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:27.0,,
Kalys;;L'assiette P LOTUS Rose Pastel;18.000TND;TND;art-de-la-table, assiettes-et-plats;https://www.kalys-designstore.com/produit/lassiette-p-lotus-rose-pastel/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:27.0,,
Kalys;;L'assiette P LOTUS Vert Pastel;18.000TND;TND;art-de-la-table, assiettes-et-plats;https://www.kalys-designstore.com/produit/lassiette-p-lotus-vert-pastel/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:30.1,,
Kalys;;Le disque Noja bleu d'eau;49.000TND;TND;art-de-la-table, accessoires-de-table, les-rangements, rangements;https://www.kalys-designstore.com/produit/le-disque-noja-bleu-deau/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:30.1
Kalys;;Bougie EDEN au musc blanc;68.000TND;TND;bougies-et-senteurs, la-touche-deco;https://www.kalys-designstore.com/produit/bougie-eden-au-musc-blanc/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201000%201000'%2F%3E;04:30.1,,
Kalys;;Le cube à parfum vert pastel;30.000TND;TND;bougies-et-senteurs, la-touche-deco;https://www.kalys-designstore.com/produit/le-cube-a-parfum-vert-pastel/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202560%202560'%2F%3E;04:30.1,,
Kalys;;Le cube à parfum rose pâle;30.000TND;TND;bougies-et-senteurs, la-touche-deco;https://www.kalys-designstore.com/produit/le-cube-a-parfum-rose-pale/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202560%202560'%2F%3E;04:30.1,,
Kalys;;Le cube à parfum beige;30.000TND;TND;bougies-et-senteurs, la-touche-deco;https://www.kalys-designstore.com/produit/le-cube-a-parfum-beige/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202560%202560'%2F%3E;04:30.1,,
